source_term	jurisdiction	replacement_mode	local_lt	eu_fallback	scope	reason	source_ref	notes
Patient Information Leaflet	uk	replace_lt	pakuotės lapelis	patient package leaflet / package leaflet	all	Lietuvoje pacientui skirta vaisto informacija perteikiama per pakuotės lapelį, ne per UK terminą.		Jei originalo terminas reikalingas orientacijai, rodyti tik `Originalo kontekstas` bloke.
PIL	uk	replace_lt	pakuotės lapelis	patient package leaflet / package leaflet	all	Trumpinys `PIL` negali būti paliktas kaip norminis LT terminas.		Pagrindiniame tekste nerodyti kaip LT standarto.
Consumer Medicines Information	australia	replace_lt	pakuotės lapelis	patient package leaflet / package leaflet	all	Australijos paciento informacijos terminas neturi būti paliktas pagrindiniame LT tekste.		Jei minimas, tai tik kaip originalo rinkos kontekstas.
CMI	australia	replace_lt	pakuotės lapelis	patient package leaflet / package leaflet	all	Trumpinys `CMI` negali būti paliktas kaip norminis LT terminas.		Pagrindiniame tekste nerodyti kaip LT standarto.
JRCALC	uk	original_context_callout	remtis Lietuvos GMP tarnybos, VVKT, SmPC ir vietiniais algoritmais	remtis ES gairėmis ir SmPC	all	JK paramedikų guideline sistema neturi būti perkelta kaip LT norma.		Leisti tik `Originalo kontekstas` bloke.
NHS	uk	omit_nontransferable	taikyti Lietuvos sveikatos sistemos ir GMP organizacinę logiką	taikyti ES ir vietinę organizacinę logiką	all	`NHS` yra JK sistemos institucinis kontekstas, ne LT norminis terminas.		Nepalikti kaip vietinio standarto.
HCPC	uk	omit_nontransferable	taikyti Lietuvos profesinės atsakomybės ir kompetencijų reguliavimą	taikyti vietinį ir ES reguliavimą	all	JK profesinis reguliatorius negali būti rodomas kaip LT norminis standartas.		Palikti tik originalo kontekstui, jei reikia.
CQC	uk	omit_nontransferable	taikyti Lietuvos įstaigų kokybės ir priežiūros reguliavimą	taikyti vietinį ir ES reguliavimą	all	JK priežiūros institucija nėra LT sistemos dalis.		Nepalikti pagrindiniame LT tekste.
PGD	uk	omit_nontransferable	taikyti Lietuvos vaistų skyrimo ir delegavimo reglamentavimą	taikyti vietinį ir ES reguliavimą	all	JK `Patient Group Direction` mechanizmas neturi tiesioginio LT atitikmens.		Nepalikti kaip tariamos LT teisės normos.
PSD	uk	omit_nontransferable	taikyti Lietuvos vaistų skyrimo ir delegavimo reglamentavimą	taikyti vietinį ir ES reguliavimą	all	JK `Patient Specific Direction` mechanizmas neturi būti perkeliamas kaip LT standartas.		Nepalikti kaip tariamos LT teisės normos.
BNF	uk	original_context_callout	remtis VVKT, SmPC ir LT/EU oficialiais šaltiniais	remtis EMA ir ES gairėmis	all	`BNF` yra JK reference įrankis, ne LT norminis šaltinis.		Jei minimas, tai tik kaip originalo kontekstas.
cBNF	uk	original_context_callout	remtis VVKT, SmPC ir LT/EU oficialiais šaltiniais	remtis EMA ir ES gairėmis	all	`cBNF` yra JK reference įrankis, ne LT norminis šaltinis.		Jei minimas, tai tik kaip originalo kontekstas.
MIMS	australia	original_context_callout	remtis VVKT, SmPC ir LT/EU oficialiais šaltiniais	remtis EMA ir ES gairėmis	all	Originalo rinkos reference įrankis negali būti rodomas kaip LT norminis šaltinis.		Jei minimas, tai tik kaip originalo kontekstas.
Australian Medicines Handbook	australia	original_context_callout	remtis VVKT, SmPC ir LT/EU oficialiais šaltiniais	remtis EMA ir ES gairėmis	all	`Australian Medicines Handbook` yra Australijos reference įrankis, ne LT norminis šaltinis.		Jei minimas, tai tik kaip originalo kontekstas.
AMH	australia	original_context_callout	remtis VVKT, SmPC ir LT/EU oficialiais šaltiniais	remtis EMA ir ES gairėmis	all	Trumpinys `AMH` negali būti paliktas kaip LT norminio šaltinio santrumpa.		Jei minimas, tai tik kaip originalo kontekstas.
Paramedicine Board Australia	australia	omit_nontransferable	taikyti Lietuvos profesinės atsakomybės ir kompetencijų reguliavimą	taikyti vietinį ir ES reguliavimą	all	Australijos profesinis reguliatorius nėra LT norminis šaltinis.		Nepalikti kaip vietinio standarto.
2222	uk	omit_nontransferable	taikyti Lietuvos vietinius skubios pagalbos aktyvavimo numerius ir procedūras	taikyti vietinį organizacinį kontekstą	all	JK skubios pagalbos aktyvavimo numeris negali būti paliktas kaip LT praktikos dalis.		Nepalikti pagrindiniame LT tekste.
ReSPECT	uk	original_context_callout	remtis Lietuvos gydymo apimties ir paciento valios dokumentavimo praktika	remtis LT ir ES teisine bei klinikine praktika	all	JK `ReSPECT` sistema nėra LT norminis standartas.		Jei minima, tai tik kaip originalo kontekstas.
DNACPR	uk	original_context_callout	remtis Lietuvos teisine ir klinikine sprendimų dėl gaivinimo apimties praktika	remtis LT ir ES teisine bei klinikine praktika	all	JK `DNACPR` mechanizmas negali būti perkeliamas kaip LT standartas.		Jei minima, tai tik kaip originalo kontekstas.
NEWS2	uk	original_context_callout	remtis Lietuvos naudojamomis būklės vertinimo sistemomis ir vietiniais algoritmais	remtis ES gairėmis ir vietine praktika	all	`NEWS2` yra UK early warning score ir negali būti rodomas kaip LT standartas.		Jei minima, tai tik kaip originalo kontekstas.
ACVPU	uk	original_context_callout	remtis Lietuvos vartojamomis neurologinės būklės vertinimo skalėmis	remtis ES ir vietine praktika	all	`ACVPU` yra originalo rinkos konteksto mnemonic, ne LT norminis standartas.		Jei minima, tai tik kaip originalo kontekstas.
