banned	preferred	reason
šokuojamas ritmas	defibriliuotinas ritmas	Literal calque from English; clinical distinction is about defibrillation.
nešokuojamas ritmas	nedefibriliuotinas ritmas	Literal calque from English; pair with defibriliuotinas ritmas.
įtemptasis pneumotoraksas	įtampos pneumotoraksas	Awkward calque; standard Lithuanian medical usage is more natural with "įtampos".
kardialinis areštas	širdies sustojimas	Unnecessary anglicized form.
maišas-kaukė	maišas su vožtuvu ir kauke	Too vague for formal medical translation.
centrinis pulsas gali būti palpated	centrinį pulsą galima čiuopti	Leave mixed-language phrasing out of target text.
vidutinis arterinis kraujo spaudimas	vidutinis arterinis spaudimas	Redundant wording; smoother Lithuanian clinical usage usually omits "kraujo".
lateralizuotas silpnumas	vienos pusės silpnumas	Awkward literal borrowing; descriptive Lithuanian is clearer.
subliuškusios kaklo venos	neišryškėjusios kaklo venos	Literal wording sounds unidiomatic in Lithuanian clinical prose.
bendrosios praktikos slaugytojas	slaugytojas	In inpatient NEWS2 context this is not the right Lithuanian role label.
